description,crime_code,weapon,source_file_uri
LARCENY,23H,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY,23H,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
ROBBERY - COMMERCIAL,120,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
COMMON ASSAULT,13B,OTHER,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
ROBBERY,120,OTHER,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY FROM AUTO,23F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AGG. ASSAULT,13A,HANDGUN,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
COMMON ASSAULT,13B,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
FRAUD,26F,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
INTIMIDATION,13C,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
VANDALISM,290,PERSONAL_WEAPONS,s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
SHOPLIFTING,23C,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00023.parquet
AUTO THEFT,240,"",s3://crimenet-data/raw_files/landing/baltimore/source_dataset=baltimore_nibrs_group_a/occurrence_year=2022/part-00011.parquet
