iucr,description,fbi_code,primary_type,row_count
1205,"THEFT BY LESSEE, NON-MOTOR VEHICLE",11,DECEPTIVE PRACTICE,85
500E,EAVESDROPPING,26,OTHER OFFENSE,80
041B,AGGRAVATED: OTHER FIREARM,04B,BATTERY,78
1720,CONTRIBUTE DELINQUENCY OF A CHILD,20,OFFENSE INVOLVING CHILDREN,78
0264,AGGRAVATED: OTHER DANG WEAPON,02,CRIM SEXUAL ASSAULT,73
1900,INTOXICATING COMPOUNDS,18,OTHER NARCOTIC VIOLATION,71
1205,"THEFT BY LESSEE,NON-VEH",11,DECEPTIVE PRACTICE,70
0142,RECKLESS HOMICIDE,01B,HOMICIDE,70
1010,BY EXPLOSIVE,09,ARSON,69
0275,ATTEMPT AGGRAVATED - OTHER,02,CRIMINAL SEXUAL ASSAULT,68
0275,ATTEMPT AGG: OTHER,02,CRIM SEXUAL ASSAULT,67
1541,SALE / DISTRIBUTE OBSCENE MATERIAL TO MINOR,26,OBSCENITY,67
2013,MANUFACTURE / DELIVER - HEROIN (TAN / BROWN TAR),18,NARCOTICS,66
500N,ABUSE / NEGLECT - CARE FACILITY,26,OTHER OFFENSE,66
2016,MANUFACTURE / DELIVER - PCP,18,NARCOTICS,66
0895,FROM COIN-OPERATED MACHINE OR DEVICE,06,THEFT,65
0264,AGGRAVATED - OTHER DANGEROUS WEAPON,02,CRIMINAL SEXUAL ASSAULT,64
1791,HARBOR RUNAWAY,20,OFFENSE INVOLVING CHILDREN,62
1850,CANNABIS PLANT,18,NARCOTICS,62
0552,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,04A,ASSAULT,62
2029,POSS: HEROIN(BLACK TAR),18,NARCOTICS,62
033B,ATTEMPT: ARMED-OTHER FIREARM,03,ROBBERY,62
500N,ABUSE/NEGLECT: CARE FACILITY,26,OTHER OFFENSE,61
5132,VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS,26,OTHER OFFENSE,59
4652,SEX OFFENDER: PROHIBITED ZONE,26,OTHER OFFENSE,57
0488,AGGRAVATED DOMESTIC BATTERY: HANDGUN,04B,BATTERY,56
1725,CONTRIBUTE CRIM DELINQUENCY JUVENILE,20,OFFENSE INVOLVING CHILDREN,55
1513,SOLICITING FOR BUSINESS,16,PROSTITUTION,54
2032,MANU/DELIVER: METHAMPHETAMINES,18,NARCOTICS,54
5132,VIOLENT OFFENDER - FAIL TO REGISTER NEW ADDRESS,26,OTHER OFFENSE,53
1720,CONTRIBUTE TO THE DELINQUENCY OF CHILD,20,OFFENSE INVOLVING CHILDREN,51
1680,OTHER,19,GAMBLING,51
0843,ATTEMPT FINANCIAL IDENTITY THEFT,06,THEFT,51
1507,SOLICIT OFF PUBLIC WAY,16,PROSTITUTION,50
1564,CRIMINAL TRANSMISSION OF HIV,17,SEX OFFENSE,50
1370,TO FIRE FIGHT.APP.EQUIP,14,CRIMINAL DAMAGE,48
0452,AGGRAVATED PO: KNIFE/CUT INSTR,04B,BATTERY,48
0482,AGG PRO.EMP:KNIFE/CUTTING INST,04B,BATTERY,47
1055,INVOLUNTARY SERVITUDE,26,HUMAN TRAFFICKING,47
1590,ATT AGG CRIMINAL SEXUAL ABUSE,17,SEX OFFENSE,43
0927,"ATTEMPT - CYCLE, SCOOTER, BIKE WITH VIN",07,MOTOR VEHICLE THEFT,43
1537,POS: PORNOGRAPHIC PRINT,26,OFFENSE INVOLVING CHILDREN,42
0487,AGGRAVATED OF AN UNBORN CHILD,04B,BATTERY,42
2160,SALE / DELIVER - DRUG PARAPHERNALIA,26,NARCOTICS,40
142A,UNLAWFUL SALE HANDGUN,15,WEAPONS VIOLATION,40
1670,GAME/AMUSEMENT DEVICE,19,GAMBLING,40
5003,OTHER ARSON/EXPLOSIVE INCIDENT,26,OTHER OFFENSE,40
0475,OF UNBORN CHILD,08B,BATTERY,39
1030,POSSESSION - EXPLOSIVE / INCENDIARY DEVICE,09,ARSON,39
2032,MANUFACTURE / DELIVER - METHAMPHETAMINE,18,NARCOTICS,39
0271,ATTEMPT AGGRAVATED - HANDGUN,02,CRIMINAL SEXUAL ASSAULT,39
0581,AGGRAVATED,08A,STALKING,37
1590,ATTEMPT AGGRAVATED CRIMINAL SEXUAL ABUSE,17,SEX OFFENSE,37
2029,POSSESS - HEROIN (BLACK TAR),18,NARCOTICS,36
0925,"ATT: TRUCK, BUS, MOTOR HOME",07,MOTOR VEHICLE THEFT,34
0482,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,04B,BATTERY,33
4800,MONEY LAUNDERING,26,OTHER OFFENSE,33
0937,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",07,MOTOR VEHICLE THEFT,33
5009,VIOLATION OF SMOKING BAN,26,OTHER OFFENSE,33
1573,CRIMINAL SEXUAL ABUSE - SEXUAL PENETRATION,17,SEX OFFENSE,32
2011,MANUFACTURE / DELIVER - BARBITURATES,18,NARCOTICS,30
5003,OTHER ARSON / EXPLOSIVE INCIDENT,26,OTHER OFFENSE,30
142A,UNLAWFUL SALE - HANDGUN,15,WEAPONS VIOLATION,30
1537,POSSESSION OF PORNOGRAPHIC PRINT,26,OFFENSE INVOLVING CHILDREN,29
1518,POST GRAPHIC INFO PORGNOGRAPHIC INTERNET OR POSS GRAPHIC INF,17,OBSCENITY,28
0475,OF AN UNBORN CHILD,08B,BATTERY,28
0450,AGGRAVATED POLICE OFFICER - HANDGUN,04B,BATTERY,28
2033,MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,18,NARCOTICS,28
0551,AGGRAVATED POLICE OFFICER - OTHER FIREARM,04A,ASSAULT,28
1566,INDECENT SOLICITATION/ADULT,17,SEX OFFENSE,28
0556,AGGRAVATED PROTECTED EMPLOYEE - OTHER FIREARM,04A,ASSAULT,27
1101,PUBLIC AID WIRE/MAIL FRAUD - VIA MAIL/PACKAGE/DELIVERY SYS,11,DECEPTIVE PRACTICE,27
0271,ATTEMPT AGG: HANDGUN,02,CRIM SEXUAL ASSAULT,26
4240,FORCIBLE DETENTION,26,KIDNAPPING,26
1481,CONCEALED CARRY LICENSE REVOCATION,15,NON-CRIMINAL,26
0927,"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",07,MOTOR VEHICLE THEFT,25
501H,HAZARDOUS MATERIALS VIOLATION,26,OTHER OFFENSE,25
2010,MANU/DELIVER:AMPHETAMINES,18,NARCOTICS,25
2160,SALE/DEL DRUG PARAPHERNALIA,26,NARCOTICS,24
0452,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,04B,BATTERY,24
5013,VIOLATION OF SUMMARY CLOSURE,26,OTHER OFFENSE,23
1725,CONTRIBUTE TO THE CRIMINAL DELINQUENCY OF CHILD,20,OFFENSE INVOLVING CHILDREN,22
3910,BRIBERY,26,INTERFERENCE WITH PUBLIC OFFICER,22
5121,ARSONIST - ANNUAL REGISTRATION,26,OTHER OFFENSE,22
1566,INDECENT SOLICITATION OF AN ADULT,17,SEX OFFENSE,22
0556,AGG PRO.EMP: OTHER FIREARM,04A,ASSAULT,22
1512,SOLICITING FOR A PROSTITUTE,16,PROSTITUTION,20
0273,ATTEMPT AGGRAVATED - KNIFE / CUTTING INSTRUMENT,02,CRIMINAL SEXUAL ASSAULT,20
1599,AGG CRIM SEX ABUSE - VIC 13-16 YOA - OFF 5 YR OLDER PENETRAT,17,SEX OFFENSE,19
0273,ATTEMPT AGG: KNIFE/CUT INSTR,02,CRIM SEXUAL ASSAULT,19
0487,AGGRAVATED OF A UNBORN CHILD,04B,BATTERY,19
1255,UNIDENTIFIABLE RECORDING SOUND,11,DECEPTIVE PRACTICE,19
1651,GAME/CARDS,19,GAMBLING,19
2094,ATTEMPT POSSESSION CANNABIS,18,NARCOTICS,19
1525,PATRONIZING A PROSTITUTE,16,PROSTITUTION,18
2040,POSS: LOOK-ALIKE DRUGS,18,NARCOTICS,18
1580,SEXUAL RELATIONS IN FAMILY,17,SEX OFFENSE,18
1580,SEX RELATION IN FAMILY,17,SEX OFFENSE,17
2010,MANUFACTURE / DELIVER - AMPHETAMINES,18,NARCOTICS,17
1030,POS: EXPLOSIVE/INCENDIARY DEV,09,ARSON,17
5121,ARSONIST: ANNUAL REGISTRATION,26,OTHER OFFENSE,17
3920,OFFICIAL MISCONDUCT,26,INTERFERENCE WITH PUBLIC OFFICER,16
1450,DEFACE IDENT MARKS OF FIREARM,15,WEAPONS VIOLATION,16
1726,MINOR DISSEMINATE INDECENT DEPICT ANOTHER MINOR ELEC DEVICE,20,OFFENSE INVOLVING CHILDREN,15
2033,MANUFACTURE / DELIVER - SYNTHETIC MARIJUANA,18,NARCOTICS,15
2080,CONT SUBS:FAIL TO MAINT RECORD,18,NARCOTICS,15
1102,PBLC AID WIRE AND MAIL FRAUD- UNLAW OBT PBLC AID,11,DECEPTIVE PRACTICE,15
0262,AGGRAVATED - OTHER FIREARM,02,CRIMINAL SEXUAL ASSAULT,15
0450,AGGRAVATED PO: HANDGUN,04B,BATTERY,14
0551,AGGRAVATED PO: OTHER FIREARM,04A,ASSAULT,14
1840,DELIVER CANNABIS TO PERSON UNDER 18,18,NARCOTICS,14
1265,LIBRARY VANDALISM,14,CRIMINAL DAMAGE,14
1840,DELIVER CANNABIS TO PERSON <18,18,NARCOTICS,14
4652,SEX OFFENDER - PROHIBITED ZONE,26,OTHER OFFENSE,13
1504,SOLICITATION OF A SEXUAL ACT,17,SEX OFFENSE,13
1263,PLACE VIDEO RECORD/TRANSMIT DEVICE - RESTROOM/TAN SALON/CHNG,17,DECEPTIVE PRACTICE,13
0842,AGG: FINANCIAL ID THEFT,06,THEFT,13
3200,ARMED VIOLENCE,26,PUBLIC PEACE VIOLATION,12
1577,CRIM SEX ABUSE-PENETRATE - OFF < 5 YRS OLDER - VIC 13-16 YOA,17,SEX OFFENSE,11
1450,DEFACE IDENTIFICATION MARKS OF FIREARM,15,WEAPONS VIOLATION,11
1262,UNAUTH VIDEO RECORD/TRANSMIT LIVE VIDEO UNDER/THRU CLOTHES,17,DECEPTIVE PRACTICE,11
1435,UNLAWFUL SALE - DELIVERY OF FIREARM AT SCHOOL,15,WEAPONS VIOLATION,11
1197,"FALSE INFO - CERTIFICATION, LICENSING CRIMINAL BACKGROUND EM",11,DECEPTIVE PRACTICE,11
2030,MANU/DELIVER:LOOK-ALIKE DRUG,18,NARCOTICS,11
3961,INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,08A,INTIMIDATION,11
1519,DISTRIBUTION PHOTOGRAPH DEPICTING SEX ORGANS OF CHILD,17,OFFENSE INVOLVING CHILDREN,10
2895,INTERFERE W/ EMERGENCY EQUIP,24,PUBLIC PEACE VIOLATION,10
3000,SELL / ADVERTISE FIREWORKS,26,PUBLIC PEACE VIOLATION,10
1576,BIGAMY,26,SEX OFFENSE,9
2895,INTERFERE WITH EMERGENCY EQUIPMENT,24,PUBLIC PEACE VIOLATION,9
2040,POSSESS - LOOK-ALIKE DRUGS,18,NARCOTICS,9
2070,DEL CONT SUBS TO PERSON <18,18,NARCOTICS,9
1715,SALE TOBACCO PRODUCTS TO MINOR,20,OFFENSE INVOLVING CHILDREN,9
142B,UNLAWFUL SALE - OTHER FIREARM,15,WEAPONS VIOLATION,9
1260,LIBRARY THEFT,11,DECEPTIVE PRACTICE,9
0938,"THEFT / RECOVERY - CYCLE, SCOOTER, BIKE NO VIN",07,MOTOR VEHICLE THEFT,9
1515,PANDERING,16,PROSTITUTION,8
3966,EDUCATIONAL INTIMIDAITON,08A,INTIMIDATION,8
4740,UNLAWFUL USE OF BODY ARMOR,26,OTHER OFFENSE,8
1530,PIMPING,16,PROSTITUTION,8
2019,MANUFACTURE / DELIVER - HEROIN (BLACK TAR),18,NARCOTICS,7
1682,ANIMAL FIGHTING,19,OTHER OFFENSE,7
142B,UNLAWFUL SALE OTHER FIREARM,15,WEAPONS VIOLATION,7
1435,UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,15,WEAPONS VIOLATION,7
3610,INTERFERE W/ HIGHER EDUCATION,24,OTHER OFFENSE,7
3000,SELL/ADVERTISE FIREWORKS,26,PUBLIC PEACE VIOLATION,6
1199,"PUBLIC AIR WIRE AND MAIL FRAUD - VIA WIRE, RADIO, TELEVISION",11,DECEPTIVE PRACTICE,6
0320,STRONGARM: NO WEAPON,03,ROBBERY,6
1574,FORNICATION,17,SEX OFFENSE,5
0262,AGGRAVATED: OTHER FIREARM,02,CRIM SEXUAL ASSAULT,5
2034,POSSESSION - SYNTHETIC MARIJUANA,18,NARCOTICS,5
0274,ATTEMPT AGGRAVATED - OTHER DANGEROUS WEAPON,02,CRIMINAL SEXUAL ASSAULT,5
2019,MANU/DELIVER:HEROIN(BLACK TAR),18,NARCOTICS,5
4810,COMPOUNDING A CRIME,26,OTHER OFFENSE,5
0928,"ATTEMPT - CYCLE, SCOOTER, BIKE NO VIN",07,MOTOR VEHICLE THEFT,5
2240,MINOR MISREPRESENT AGE,22,LIQUOR LAW VIOLATION,5
5122,ARSONIST - FAIL TO REGISTER NEW ADDRESS,26,OTHER OFFENSE,5
0274,ATTEMPT AGG: OTHER DANG WEAPON,02,CRIM SEXUAL ASSAULT,5
1147,INTERNET OFFENSES - ELECTRONIC FENCING,13,OTHER OFFENSE,5
0430,AGGRAVATED: OTHER DANGEROUS WEAPON,04B,BATTERY,4
3751,AIDING ARRESTEE ESCAPE,24,INTERFERENCE WITH PUBLIC OFFICER,4
1531,JUVENILE PIMPING,16,PROSTITUTION,4
1715,SALE OF TOBACCO PRODUCTS TO MINOR,20,OFFENSE INVOLVING CHILDREN,4
3975,COMPELLING ORG MEMBERSHIP,26,INTIMIDATION,4
1520,KEEP PLACE OF PROSTITUTION,16,PROSTITUTION,4
1230,POSSESS KEYS OR DEVICE TO COIN MACHINE,11,DECEPTIVE PRACTICE,4
1526,PATRONIZE JUVENILE PROSTITUTE,16,PROSTITUTION,4
0141,INVOLUNTARY MANSLAUGHTER,01B,HOMICIDE,4
1670,GAME / AMUSEMENT DEVICE,19,GAMBLING,3
2110,POSSESS - HYPODERMIC NEEDLE,18,NARCOTICS,3
3740,CONCEALING/AIDING A FUGITIVE,24,INTERFERENCE WITH PUBLIC OFFICER,3
5120,ARSONIST: DUTY TO REGISTER,26,OTHER OFFENSE,3
0938,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN",07,MOTOR VEHICLE THEFT,3
0480,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,04B,BATTERY,3
1476,USE OF METAL PIERCING BULLETS,15,WEAPONS VIOLATION,3
0497,AGGRAVATED DOMESTIC BATTERY: OTHER DANGEROUS WEAPON,04B,BATTERY,3
3720,REFUSING TO AID AN OFFICER,24,INTERFERENCE WITH PUBLIC OFFICER,3
5122,ARSONIST: FAIL TO REGISTER NEW ADDRESS,26,OTHER OFFENSE,3
0489,AGGRAVATED DOMESTIC BATTERY - OTHER FIREARM,04B,BATTERY,3
3980,COMPELLING CONFESSION,26,INTIMIDATION,3
1160,ALTER COINS,11,DECEPTIVE PRACTICE,3
1511,IN TAVERN,16,PROSTITUTION,2
2030,MANUFACTURE / DELIVER - LOOK-ALIKE DRUG,18,NARCOTICS,2
1520,KEEPING PLACE OF PROSTITUTION,16,PROSTITUTION,2
0272,ATTEMPT AGGRAVATED - OTHER FIREARM,02,CRIMINAL SEXUAL ASSAULT,2
2251,EMPLOY MINOR,22,LIQUOR LAW VIOLATION,2
0451,AGGRAVATED POLICE OFFICER - OTHER FIREARM,04B,BATTERY,2
0496,AGGRAVATED DOMESTIC BATTERY: KNIFE / CUTTING INSTSTRUMENT,04B,BATTERY,2
0440,AGGRAVATED: HANDS / FIST / FEET NO / MINOR INJURY,08B,BATTERY,1
2070,DELIVER CONTROLLED SUBSTANCES TO PERSON UNDER 18,18,NARCOTICS,1
2060,FAIL REGISTER LIC:CONT SUBS,18,NARCOTICS,1
4750,DISCLOSE DOMESTIC VIOLENCE VICTIM LOCATION,26,OTHER OFFENSE,1
2111,SALE/DEL HYPODERMIC NEEDLE,26,NARCOTICS,1
0481,AGG PRO.EMP: OTHER FIREARM,04B,BATTERY,1
1542,SALE OF OBSCENE MATERIALS,26,OBSCENITY,1
0453,AGGRAVATED PO: OTHER DANGEROUS WEAPON,04B,BATTERY,1
0480,AGG PRO.EMP: HANDGUN,04B,BATTERY,1
0340,ATTEMPT STRONG ARM: NO WEAPON,03,ROBBERY,1
1230,POSS. KEYS OR DEV.TO COIN MACH,11,DECEPTIVE PRACTICE,1
033A,ATTEMPT ARMED: HANDGUN,03,ROBBERY,1
1510,CAB OPERATION,16,PROSTITUTION,1
0830,THEFT RETAIL,06,THEFT,1
1035,POSSESSION - CHEMICAL / DRY-ICE DEVICE,09,ARSON,1
0263,AGGRAVATED: KNIFE / CUTTING INSTRUMENT,02,CRIMINAL SEXUAL ASSAULT,1
1035,POS: CHEMICAL/DRY-ICE DEVICE,09,ARSON,1
0420,AGGRAVATED: KNIFE / CUTTING INSTRUMENT,04B,BATTERY,1
1145,INTERNET OFFENSES - INTENT OF ONLINE SALE OF STOLEN PROPERTY,13,OTHER OFFENSE,1
0130,SECOND DEGREE MURDER,01A,HOMICIDE,1
1860,CALCULATED CANNABIS CONSPIRACY,18,NARCOTICS,1
0489,AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM,04B,BATTERY,1
0272,ATTEMPT AGG: OTHER FIREARM,02,CRIM SEXUAL ASSAULT,1
3770,CONTRABAND IN PRISON,26,INTERFERENCE WITH PUBLIC OFFICER,1
3610,INTERFERE WITH HIGHER EDUCATION,24,OTHER OFFENSE,1
0928,"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",07,MOTOR VEHICLE THEFT,1
0479,AGGRAVATED: HANDS / FIST / FEET SERIOUS INJURY,04B,BATTERY,1
0484,PROTECTED EMPLOYEE: HANDS NO / MIN INJURY,08B,BATTERY,1
2080,FAILURE TO MAINTAIN RECORDS - CONTROLLED SUBSTANCES,18,NARCOTICS,1
0510,"AGG. RITUAL MUTILATION - HANDS, FISTS, FEET, SERIOUS INJURY",04B,RITUALISM,1
